time,review,Players,review_clean,sentiment_label,positive,negative,positive_count,negative_count,sentiment_ratio
2023-11-08,"i played portia, a while ago. i've had sandrock on my radar for a while. when i saw that they were intending to put multiplayer in, i thought to myself i can afford to wait until it's actually here. when it dropped, i had time and so did my usual co-op buddies and we jumped into it. one of my friends had played portia and the other had not. 

sandrock has had me gripped for a few days now, and i have only barely touched single player, spending almost all of my time in multiplayer. to those who have played portia, the multiplayer focuses on the gameplay and it delivers. it is very improved over what we had in portia. to those who are not familiar, who are just looking for a game to play with the people they play games with: do you enjoy games like stardew valley or minecraft, where everyone can kinda pick a 'job' and meet up at the house or base at the start and end of the day and spend the middle doing who knows what? if yes, you'll like sandrock. there are things like co-op bounties, co-op forms of the ruins where you hunt treasure, co-op dungeons, what seemed like a raid? (had its own tokens, was timed/scored) sure, after enough time, you're going to  max out your skill tree and start dipping into others, but the join/drop nature of the game (up to four people) means that there's ... often ... a lot to do. if you hit the ground with both feet running, there's tons of jobs to do. you can build yourself into a coma. you can go and make friends with townsfolk. you can try to get rich. 

the urban planning mechanic is well thought out and it works well. i'd maybe twist the ranching store to come online a little earlier (by the time i unlocked ranching it felt like i was so late in the tree that it only existed as a means to get yak hair) but it's fun. it's fun to build your workshop and build your house and build your skills and build your relationships. it's fun. there is no overarching story in multiplayer but you do iterate on the town through how you progress your commissions and by doing the urban planner. it's a good game for hangin' out with the guys. really.

as for the progression? it can be kinda hard, at times. not the combat, but figuring out where to get very specific tidbits you'll need. and the building commissions start to ramp up when you roam around the map. sometimes, you don't have the ability to get or refine the things you need for the commissions. i've constantly opened the wiki to guide me in the game, which is something i do for a lot of games, but i know some people are dead set against it.

also, relationships with npcs move slow. sometimes, i can't find the people i am looking for. there's a lot to learn how to do in this game because there's a lot to learn how to do. i still only know like four food recipes. there are sometimes minor bugs but i am guessing they'll get ironed out soon enough. nothing so serious as a crash or any lost progress. it's not a perfect game, but it's better than portia, which i already thought was good. and if you're into the genre, it's absolutely worth picking up.",15199,Played Portia Sandrock Radar Intending Multiplayer Afford Wait Dropped Time Usual Op Buddies Jumped Friends Played Portia Sandrock Gripped Days Barely Touched Single Player Spending Time Multiplayer Played Portia Multiplayer Focuses Gameplay Delivers Improved Portia Familiar Game Play People Play Games Enjoy Games Stardew Valley Minecraft Kinda Pick Job Meet House Base Start Day Spend Middle Sandrock Op Bounties Op Forms Ruins Hunt Treasure Op Dungeons Raid Tokens Timed Scored Time Max Skill Tree Start Dipping Drop Nature Game People Lot Hit Ground Feet Running Tons Jobs Build Coma Friends Townsfolk Rich Urban Planning Mechanic Twist Ranching Store Online Earlier Time Unlocked Ranching Late Tree Existed Yak Hair Fun Fun Build Workshop Build House Build Skills Build Relationships Fun Overarching Story Multiplayer Iterate Town Progress Commissions Urban Planner Game Hangin Guys Progression Kinda Hard Times Combat Figuring Specific Tidbits Building Commissions Start Ramp Roam Map Ability Refine Commissions Constantly Wiki Guide Game Lot Games People Dead Set Relationships Npcs Slow People Lot Learn Game Lot Learn Food Recipes Minor Bugs Guessing Ironed Crash Lost Progress Perfect Game Portia Genre Absolutely Worth Picking,POSITIVE,1,0,42,4,0.9130434782608695
2023-11-04,"came into sandrock as a big my time at portia aficionado and as many have said, fans of the latter will find a lot to love in this title.

mtas has brought [i] huge [/i] improvements in the quality-of-life department, along with gorgeous visuals and a new multiplayer mode to boot. recent updates have really fleshed out npc stories and brought the depth of character i loved in mtap, and it's been wonderful to watch this game come to life over the course of its early access period.

for newcomers: the ""my time"" series stands out to me as a life sim that has it all, from crafting and farming to romance and combat, with robust systems that make it all enjoyable to play - and my time at sandrock is no different. 

i'm creeping up on 500 in-game hours... if that says anything!",16806,Sandrock Time Portia Aficionado Fans Lot Love Title Mtas Brought Huge Improvements Quality Life Department Gorgeous Visuals Multiplayer Mode Boot Updates Fleshed Npc Stories Brought Depth Character Loved Mtap Wonderful Watch Game Life Access Period Newcomers Time Series Stands Life Sim Crafting Farming Romance Combat Robust Systems Enjoyable Play Time Sandrock Creeping 500 Game Hours,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-16,"[h1] dude, where'd my time go? [/h1]

[b] what i liked [/b]

decent gameplay loop!  always feel like i have something to do and there were many days in-game that i ran out of time, but with still much more to do.

[b] what i did not like [/b]

the graphics felt simplistic, but they needed to be for this type of game.

[b] why i stopped playing [/b]

honestly something else got my attention, but i expect i'll revisit this game later.

[b] disclaimer [/b]

i have been a gamer for over 30 years.  i tend to play mostly pc games.  i also bounce around between games a lot.  i may purchase a $60 game and play it for 2 hours or spend $10 on a game and spend 50 hours on it.  even if i played a game a short time, it does not mean it is bad.  it just means another game caught my attention.  i also complain about flaws in games a lot, even about the littlest of things.  keep that in mind when reading my reviews.  if i do not have a complaint, then the game must be special!",11028,H1 Dude Time H1 Decent Gameplay Loop Feel Days Game Time Graphics Simplistic Type Game Stopped Playing Honestly Attention Expect Revisit Game Disclaimer Gamer 30 Tend Play Pc Games Bounce Games Lot Purchase 60 Game Play 2 Hours Spend Game Spend 50 Hours Played Game Short Time Bad Game Caught Attention Complain Flaws Games Lot Littlest Mind Reading Reviews Complaint Game Special,POSITIVE,1,0,35,4,0.8974358974358975
2023-11-26,this is the best game ever. can't seem to stop playing it. the story is the absolute best and it feels unique to other games. pathea is still updating it and fixing bugs even after full release and they really seem to listen to the fans.,9102,Game Playing Story Absolute Feels Unique Games Pathea Updating Fixing Bugs Release Listen Fans,POSITIVE,1,0,76,10,0.8837209302325582
2023-11-26,"if you enjoyed the first game in this series, you will love this. on top of what was already a graphically beautiful game, with lots of device characters and a big land of exploration, comes a lot of quality of life changes that i was happy to see added into this new chapter. gathering new materials felt a lot more smooth and free flowing, while still grindy of course, it felt like you got a lot more out of each day than you did in the previous game. which is something i can appreciate, it must be difficult to try and balance out making the game have some amount of longevity to it, while not making it feeling like a complete slog. each new character in this chapter of the series have their own distinct personalities and quirks. i love how much more cats and dogs there are roaming around! if you do enjoy games with building, story progression and interacting with interesting characters, all the while being able to just have a chill time. then this is the game for you.",9102,Enjoyed Game Series Love Graphically Beautiful Game Lots Device Characters Land Exploration Lot Quality Life Happy Chapter Gathering Materials Lot Smooth Flowing Grindy Lot Day Previous Game Difficult Balance Game Longevity Feeling Complete Slog Character Chapter Series Distinct Personalities Quirks Love Cats Dogs Roaming Enjoy Games Building Story Progression Interacting Characters Chill Time Game,POSITIVE,1,0,76,10,0.8837209302325582
2023-11-06,its worth.,16388,Worth,POSITIVE,1,0,45,6,0.8823529411764706
2023-11-04,"this is a general improvement of portia, with numerous qol improvements and better graphics.  if you want a chill builder sim game with a side of combat, this is a decent pick up.  that said there's a few things from the original that haven't improved:

-the combat is still too simplistic.  there are still no special attacks (the enemies get them, but not the player) so all you do for the most part is mash lmb and roll dodge once in a while.  there are ranged weapons, but having to constantly build more ammo is annoying so you'll just melee everything for the most part.
-the main story drags on way too long.  this was probably my main complaint about portia as well.  as another reviewer put it, there's an interesting major plotline where you fully expect the story to end afterwards but it drags on with more mundane busywork for another 10-15 hours.
-waiting on things.  you can speed up time to 3x speed at least without mods, but it can still take 15+ minutes of real time to smelt a stack of bars so a lot of the time you'll just toss stuff in and end the day to skip time.
-relation grind.  like the first game it is slow and tedious.  some characters aren't too bad because they constantly put up commissions which give a big chunk for something you want to do anyways, or are heavily involved in story missions.  others, like the doctor, require you go out of your way to talk to and constantly do boring crap like play critters (basically rock paper scissors with cards) over and over.  as a bonus middle finger, [spoiler]several characters leave partway through main story and get replaced by new ones[/spoiler].  hope you didn't waste your time on those ones!

overall though, it's a decent game for the price.  i never finished portia, i tried twice and got bored halfway through both times.  sandrock at least improved the gameplay enough to make me finish it this time.",16806,Improvement Portia Numerous Qol Improvements Graphics Chill Builder Sim Game Combat Decent Pick Original Improved Combat Simplistic Special Attacks Enemies Player Mash Lmb Roll Dodge Ranged Weapons Constantly Build Ammo Annoying Melee Main Story Drags Main Complaint Portia Reviewer Major Plotline Expect Story Drags Mundane Busywork 15 Hours Waiting Speed Time 3X Speed Mods 15 Minutes Real Time Smelt Stack Bars Lot Time Toss Stuff Day Skip Time Relation Grind Game Slow Tedious Characters Bad Constantly Commissions Chunk Heavily Involved Story Missions Doctor Require Talk Constantly Boring Crap Play Critters Basically Rock Paper Scissors Cards Bonus Middle Finger Spoiler Characters Leave Partway Main Story Replaced Spoiler Hope Waste Time Decent Game Price Finished Portia Bored Halfway Times Sandrock Improved Gameplay Finish Time,POSITIVE,1,0,56,7,0.8888888888888888
2023-11-06,fun af,16388,Fun,POSITIVE,1,0,45,6,0.8823529411764706
2023-11-26,"if you liked my time at portia, skip the review and buy the game, it's an overall improvement to his predecessor!

if you like ""stardew valley"" like games, this can be an interesting title for you!

[b]what is my time at sandrock?[/b]
sandrock is a ""you come into a run down town to take over a run down activity to improve yourself and the city"" genre (stardew valley, coral island, portia, harvest moon, etc..) but here you are not a farmer, you are a builder in a post apocalyptic (but cute-ish) world.

you will have to gather resources, build stuff, take main quests as well as commisions, with time and gifts you will slowly win the hearth of the sandrockers, unlocking their personal stories while unfolding the story of sandrock.

[b]what are the pros of sandrock?[/b]
- [i]cosy gameplay:[/i] sandrock isn't much of a grinding game, yes it may happen that you will need an extra run into the caves to get the resources you need and sometimes you will have to wait for some ingots to smelt but it's not tedious or really long.
- [i]good story:[/i] this is the big improvement from portia, the story is nice and has a couple of twist, nothing incredible but also a welcome surprise for this series. townies have some better stories as well (compared to portia) and seem more entertaining.
- [i]lots of hours of gameplay:[/i] despite it's not the most replayable of games (if not for seeing how the different romance changes some dialogues), sandrock has a solid gameplay time, around 150 hours more or less

[b]what are the cons of sandrock?[/b]
- [i]late game content:[/i] like portia, sandrock has a problem with the late/end game part, even if some quest and sidequest, i can't ignore the fact that the last part of the game feels too empty (various days without anything major to do and no more personal sidequests from townies), buggy (translation quality drops hugely in late game as well as some bugged parts, showing more care in the development of the first and central part of the game rather than the late game) and overall less interesting than the previous parts. also the last townies that join the town don't have much dialogue lines (often resorting on generic talks) and aren't befriendable.
- [i]relations with townies are not a game changer:[/i] townies that have an important arc are added to the main quests (so there is no skipping or choice on them) while lesser arcs are left to the relationship rating but really don't add anything to the story. this makes the game not really replayable as there is no much impact on the game based on how you handle the relationships.
- [i]multiplayer:[/i] this is a bitter part for me, i backed the game hoping in a full co-op experience with my wife but halfway into the development the multiplayer was changed into a sort of sandbox experience with several goal steps and almost no story. it feels empty and boring in my opinion, the best choice would have been either make a stardew-valley like mp where players can experience the original story or simply not waste resources and time on it. an half-backed multiplayer mode will not satisfy anybody, if you seek a good co-op multiplayer, do not take sandrock into consideration",9102,Time Portia Skip Review Game Improvement Predecessor Stardew Valley Games Title Time Sandrock Sandrock Town Activity Improve City Genre Stardew Valley Coral Island Portia Harvest Moon Farmer Builder Post Apocalyptic Cute Ish Gather Resources Build Stuff Main Quests Commisions Time Gifts Slowly Win Hearth Sandrockers Unlocking Personal Stories Unfolding Story Sandrock Pros Sandrock Cosy Gameplay Sandrock Grinding Game Happen Extra Caves Resources Wait Ingots Smelt Tedious Story Improvement Portia Story Nice Couple Twist Incredible Surprise Series Townies Stories Compared Portia Entertaining Lots Hours Gameplay Replayable Games Romance Dialogues Sandrock Solid Gameplay Time 150 Hours Cons Sandrock Late Game Content Portia Sandrock Late Game Quest Sidequest Ignore Game Feels Days Major Personal Sidequests Townies Buggy Translation Quality Drops Hugely Late Game Bugged Care Development Central Game Late Game Previous Townies Town Dialogue Lines Resorting Generic Talks Befriendable Relations Townies Game Changer Townies Arc Main Quests Skipping Choice Lesser Arcs Left Relationship Rating Add Story Game Replayable Impact Game Based Handle Relationships Multiplayer Bitter Game Hoping Op Experience Wife Halfway Development Multiplayer Changed Sort Sandbox Experience Goal Steps Story Feels Boring Opinion Choice Stardew Valley Players Experience Original Story Simply Waste Resources Time Multiplayer Mode Satisfy Seek Op Multiplayer Sandrock Consideration,POSITIVE,1,0,76,10,0.8837209302325582
2023-11-22,"[u] [h1] my time at sandrock enjoyers [/h1] [/u]

⣿⣿⣿⣿⣿⣿⣿⣿⡿⠿⠛⠛⠛⠋⠉⠈⠉⠉⠉⠉⠛⠻⢿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⡿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠉⠛⢿⣿⣿⣿⣿
⣿⣿⣿⣿⡏⣀⠀⠀⠀⠀⠀⠀⠀⣀⣤⣤⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠙⢿⣿⣿
⣿⣿⣿⢏⣴⣿⣷⠀⠀⠀⠀⠀⢾⣿⣿⣿⣿⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠈⣿⣿
⣿⣿⣟⣾⣿⡟⠁⠀⠀⠀⠀⠀⢀⣾⣿⣿⣿⣿⣿⣷⢢⠀⠀⠀⠀⠀⠀⠀⢸⣿
⣿⣿⣿⣿⣟⠀⡴⠄⠀⠀⠀⠀⠀⠀⠙⠻⣿⣿⣿⣿⣷⣄⠀⠀⠀⠀⠀⠀⠀⣿
⣿⣿⣿⠟⠻⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠶⢴⣿⣿⣿⣿⣿⣧⠀⠀⠀⠀⠀⠀⣿
⣿⣁⡀⠀⠀⢰⢠⣦⠀⠀⠀⠀⠀⠀⠀⠀⢀⣼⣿⣿⣿⣿⣿⡄⠀⣴⣶⣿⡄⣿
⣿⡋⠀⠀⠀⠎⢸⣿⡆⠀⠀⠀⠀⠀⠀⣴⣿⣿⣿⣿⣿⣿⣿⠗⢘⣿⣟⠛⠿⣼
⣿⣿⠋⢀⡌⢰⣿⡿⢿⡀⠀⠀⠀⠀⠀⠙⠿⣿⣿⣿⣿⣿⡇⠀⢸⣿⣿⣧⢀⣼
⣿⣿⣷⢻⠄⠘⠛⠋⠛⠃⠀⠀⠀⠀⠀⢿⣧⠈⠉⠙⠛⠋⠀⠀⠀⣿⣿⣿⣿⣿
⣿⣿⣧⠀⠈⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠟⠀⠀⠀⠀⢀⢃⠀⠀⢸⣿⣿⣿⣿
⣿⣿⡿⠀⠴⢗⣠⣤⣴⡶⠶⠖⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡸⠀⣿⣿⣿⣿
⣿⣿⣿⡀⢠⣾⣿⠏⠀⠠⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠛⠉⠀⣿⣿⣿⣿
⣿⣿⣿⣧⠈⢹⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣰⣿⣿⣿⣿
⣿⣿⣿⣿⡄⠈⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣴⣾⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣧⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣷⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣦⣄⣀⣀⣀⣀⠀⠀⠀⠀⠘⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⡄⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣧⠀⠀⠀⠙⣿⣿⡟⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠁⠀⠀⠹⣿⠃⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢐⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⠿⠛⠉⠉⠁⠀⢻⣿⡇⠀⠀⠀⠀⠀⠀⢀⠈⣿⣿⡿⠉⠛⠛⠛⠉⠉
⣿⡿⠋⠁⠀⠀⢀⣀⣠⡴⣸⣿⣇⡄⠀⠀⠀⠀⢀⡿⠄⠙⠛⠀⣀⣠⣤⣤⠄

[h1] 🏅 10/10 ⭐[/h1]",9290,H1 Time Sandrock Enjoyers H1 H1 H1,POSITIVE,1,0,247,20,0.9250936329588015
