"DateTime","Players","Players Trend","Markers"
"2023-10-25 07:30:00",1327,1598,
"2023-10-25 07:40:00",1328,1598,
"2023-10-25 07:50:00",1346,1597,
"2023-10-25 08:00:00",1358,1597,
"2023-10-25 08:10:00",1355,1597,
"2023-10-25 08:20:00",1344,1596,
"2023-10-25 08:30:00",1342,1596,
"2023-10-25 08:40:00",1344,1596,
"2023-10-25 08:50:00",1328,1595,
"2023-10-25 09:00:00",1321,1595,
"2023-10-25 09:10:00",1321,1596,
"2023-10-25 09:20:00",1338,1596,
"2023-10-25 09:30:00",1347,1596,
"2023-10-25 09:40:00",1355,1596,
"2023-10-25 09:50:00",1390,1596,
"2023-10-25 10:00:00",1401,1596,
"2023-10-25 10:10:00",1422,1595,
"2023-10-25 10:20:00",1444,1595,
"2023-10-25 10:30:00",1474,1595,
"2023-10-25 10:40:00",1500,1595,
"2023-10-25 10:50:00",1527,1594,
"2023-10-25 11:00:00",1535,1594,
"2023-10-25 11:10:00",1563,1594,
"2023-10-25 11:20:00",1611,1594,
"2023-10-25 11:30:00",1631,1594,
"2023-10-25 11:40:00",1658,1594,
"2023-10-25 11:50:00",1691,1594,
"2023-10-25 12:00:00",1734,1594,
"2023-10-25 12:10:00",1815,1594,
"2023-10-25 12:20:00",1865,1594,
"2023-10-25 12:30:00",1931,1594,
"2023-10-25 12:40:00",1979,1594,
"2023-10-25 12:50:00",1991,1594,
"2023-10-25 13:00:00",2023,1594,
"2023-10-25 13:10:00",2053,1594,
"2023-10-25 13:20:00",2103,1595,
"2023-10-25 13:30:00",2117,1595,
"2023-10-25 13:40:00",2168,1596,
"2023-10-25 13:50:00",2175,1596,
"2023-10-25 14:00:00",2253,1597,
"2023-10-25 14:10:00",2255,1597,
"2023-10-25 14:20:00",2254,1597,
"2023-10-25 14:30:00",2263,1597,
"2023-10-25 14:40:00",2250,1598,
"2023-10-25 14:50:00",2259,1598,
"2023-10-25 15:00:00",2214,1598,
"2023-10-25 15:10:00",2164,1598,
"2023-10-25 15:20:00",2152,1598,
"2023-10-25 15:30:00",2102,1598,
"2023-10-25 15:40:00",2074,1598,
"2023-10-25 15:50:00",2059,1599,
"2023-10-25 16:00:00",2009,1599,
"2023-10-25 16:10:00",1938,1599,
"2023-10-25 16:20:00",1896,1599,
"2023-10-25 16:30:00",1855,1600,
"2023-10-25 16:40:00",1875,1600,
"2023-10-25 16:50:00",1874,1600,
"2023-10-25 17:00:00",1868,1599,
"2023-10-25 17:10:00",1839,1599,
"2023-10-25 17:20:00",1808,1599,
"2023-10-25 17:30:00",1805,1599,
"2023-10-25 17:40:00",1788,1599,
"2023-10-25 17:50:00",1779,1599,
"2023-10-25 18:00:00",1783,1599,
"2023-10-25 18:10:00",1782,1598,
"2023-10-25 18:20:00",1789,1598,
"2023-10-25 18:30:00",1791,1598,
"2023-10-25 18:40:00",1814,1598,
"2023-10-25 18:50:00",1818,1597,
"2023-10-25 19:00:00",1808,1596,
"2023-10-25 19:10:00",1804,1595,
"2023-10-25 19:20:00",1788,1595,
"2023-10-25 19:30:00",1768,1594,
"2023-10-25 19:40:00",1759,1593,
"2023-10-25 19:50:00",1757,1593,
"2023-10-25 20:00:00",1735,1593,
"2023-10-25 20:10:00",1717,1592,
"2023-10-25 20:20:00",1676,1591,
"2023-10-25 20:30:00",1646,1591,
"2023-10-25 20:40:00",1628,1590,
"2023-10-25 20:50:00",1603,1590,
"2023-10-25 21:00:00",1586,1590,
"2023-10-25 21:10:00",1563,1589,
"2023-10-25 21:20:00",1544,1589,
"2023-10-25 21:30:00",1481,1588,
"2023-10-25 21:40:00",1451,1588,
